training_dataset,seed,compound_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,feature_key,channel_radius,bit_id,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,original_prediction,masked_prediction,delta_pkoff,checkpoint_sha256,rank_within_seed
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b875,1,875,4,True,"[2, 3, 4, 9, 10, 11, 18, 19, 20, 22, 24, 25]","[{""center_atom"":3,""environment_radius"":1,""atom_indices"":[2,3,4],""fragment_smiles"":""ccc""},{""center_atom"":10,""environment_radius"":1,""atom_indices"":[9,10,11],""fragment_smiles"":""ccc""},{""center_atom"":19,""environment_radius"":1,""atom_indices"":[18,19,20],""fragment_smiles"":""ccc""},{""center_atom"":24,""environment_radius"":1,""atom_indices"":[22,24,25],""fragment_smiles"":""ccc""}]","[""ccc"", ""ccc"", ""ccc"", ""ccc""]",1.8111300468444824,1.7981868982315063,0.012943148612976074,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,37
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b926,1,926,1,False,[29],"[{""center_atom"":29,""environment_radius"":0,""atom_indices"":[29],""fragment_smiles"":""C""}]","[""C""]",1.8111300468444824,1.8104313611984253,0.0006986856460571289,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,75
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1019,1,1019,2,True,"[17, 27]","[{""center_atom"":17,""environment_radius"":0,""atom_indices"":[17],""fragment_smiles"":""C""},{""center_atom"":27,""environment_radius"":0,""atom_indices"":[27],""fragment_smiles"":""C""}]","[""C"", ""C""]",1.8111300468444824,1.8070895671844482,0.00404047966003418,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,64
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1027,1,1027,1,False,"[17, 18, 19, 25]","[{""center_atom"":18,""environment_radius"":1,""atom_indices"":[17,18,19,25],""fragment_smiles"":""cc(C)c""}]","[""cc(C)c""]",1.8111300468444824,1.8067846298217773,0.004345417022705078,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,62
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1057,1,1057,2,True,"[0, 13]","[{""center_atom"":0,""environment_radius"":0,""atom_indices"":[0],""fragment_smiles"":""C""},{""center_atom"":13,""environment_radius"":0,""atom_indices"":[13],""fragment_smiles"":""C""}]","[""C"", ""C""]",1.8111300468444824,1.8271045684814453,-0.01597452163696289,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,127
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1088,1,1088,1,False,"[16, 17, 18, 27]","[{""center_atom"":17,""environment_radius"":1,""atom_indices"":[16,17,18,27],""fragment_smiles"":""c[C@H](C)O""}]","[""c[C@H](C)O""]",1.8111300468444824,1.809840440750122,0.0012896060943603516,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,71
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1171,1,1171,1,False,[28],"[{""center_atom"":28,""environment_radius"":0,""atom_indices"":[28],""fragment_smiles"":""N""}]","[""N""]",1.8111300468444824,1.8149765729904175,-0.0038465261459350586,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,89
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1250,1,1250,1,False,"[17, 27, 28, 29]","[{""center_atom"":27,""environment_radius"":1,""atom_indices"":[17,27,28,29],""fragment_smiles"":""C[C@H](N)C""}]","[""C[C@H](N)C""]",1.8111300468444824,1.803232192993164,0.00789785385131836,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,53
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1276,1,1276,1,False,"[11, 12, 13, 14, 15]","[{""center_atom"":12,""environment_radius"":1,""atom_indices"":[11,12,13,14,15],""fragment_smiles"":""cS(C)(=O)=O""}]","[""cS(C)(=O)=O""]",1.8111300468444824,1.8290972709655762,-0.01796722412109375,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,134
2773,342,dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,r1_b1357,1,1357,1,False,"[3, 4, 5, 9]","[{""center_atom"":4,""environment_radius"":1,""atom_indices"":[3,4,5,9],""fragment_smiles"":""cc(c)c""}]","[""cc(c)c""]",1.8111300468444824,1.8225126266479492,-0.011382579803466797,0794921c796ddbc878db48496780363fbc3a6e21eb11639b6ba5e5e4ceaa121b,118
