training_dataset,compound_id,feature_key,channel_radius,bit_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,n_seeds,mean_delta_pkoff,sd_delta_pkoff,median_delta_pkoff,positive_seed_fraction,sign_consistency,mean_rank,top10_seed_fraction,delta_by_seed_json
2773,dpp4_07,r3_b1180,3,1180,COc1cc2ccc3c(c2cc1OC)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,COc1cc2ccc3c(c2cc1OC)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,2.464706,0.0,2,10.1093/nar/gkw1074,1,False,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 27]","[{""center_atom"":9,""environment_radius"":3,""atom_indices"":[2,3,4,5,6,7,8,9,10,11,12,14,15,27],""fragment_smiles"":""CCc1c(ccc2ccc(O)cc12)O""}]","[""CCc1c(ccc2ccc(O)cc12)O""]",5,0.038422679901123045,0.03185269077238892,0.022274136543273926,1.0,1.0,19.4,0.4,"{""42"": 0.009343862533569336, ""142"": 0.053022146224975586, ""242"": 0.08742523193359375, ""342"": 0.022274136543273926, ""442"": 0.020048022270202637}"
2773,dpp4_15,r3_b1549,3,1549,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,2.640165,0.0,1,10.1093/nar/gkw1074,1,False,"[6, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27]","[{""center_atom"":16,""environment_radius"":3,""atom_indices"":[6,14,15,16,17,18,19,20,22,23,24,25,26,27],""fragment_smiles"":""cO[C@H](c1cc(F)ccc1F)[C@@H](N)C""}]","[""cO[C@H](c1cc(F)ccc1F)[C@@H](N)C""]",5,0.03829865455627442,0.03851562684624645,0.020369529724121094,1.0,1.0,27.0,0.4,"{""42"": 0.009031057357788086, ""142"": 0.020369529724121094, ""242"": 0.07985472679138184, ""342"": 0.0799323320388794, ""442"": 0.00230562686920166}"
2773,dpp4_08,r3_b1055,3,1055,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,1,False,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 17, 27, 28, 29]","[{""center_atom"":5,""environment_radius"":3,""atom_indices"":[2,3,4,5,6,7,8,9,10,16,17,27,28,29],""fragment_smiles"":""ccc1c2c(ccc1c)OC[C@@H](N)C2""}]","[""ccc1c2c(ccc1c)OC[C@@H](N)C2""]",5,0.0382422685623169,0.018157445758434348,0.035343050956726074,1.0,1.0,12.6,0.6,"{""42"": 0.01989269256591797, ""142"": 0.06440377235412598, ""242"": 0.04755806922912598, ""342"": 0.035343050956726074, ""442"": 0.024013757705688477}"
2773,dpp4_10,r3_b1947,3,1947,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,3.585027,0.0,1,10.1093/nar/gkw1074,1,False,"[23, 24, 25, 26, 27, 28]","[{""center_atom"":26,""environment_radius"":3,""atom_indices"":[23,24,25,26,27,28],""fragment_smiles"":""c1ccccc1""}]","[""c1ccccc1""]",5,0.03712122440338135,0.02487226907775105,0.027699828147888184,1.0,1.0,19.6,0.6,"{""42"": 0.0616612434387207, ""142"": 0.027699828147888184, ""242"": 0.06537222862243652, ""342"": 0.020177841186523438, ""442"": 0.01069498062133789}"
2773,dpp4_04,r3_b1917,3,1917,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,3.2947284999999997,0.5755505683919404,8,10.1093/nar/gkw1074,1,False,"[7, 8]","[{""center_atom"":8,""environment_radius"":1,""atom_indices"":[7,8],""fragment_smiles"":""C=O""}]","[""C=O""]",5,0.03695797920227051,0.014288028985127342,0.04395699501037598,1.0,1.0,11.0,0.8,"{""42"": 0.03444385528564453, ""142"": 0.04395699501037598, ""242"": 0.04865622520446777, ""342"": 0.04457449913024902, ""442"": 0.013158321380615234}"
2773,dpp4_03,r3_b1675,3,1675,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(O)(CC(O)(C3)C1)C2,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(O)(CC(O)(C3)C1)C2,3.30103,0.0,1,10.1093/nar/gkw1074,1,False,"[7, 8, 9, 10, 11, 12, 13, 22, 23]","[{""center_atom"":10,""environment_radius"":2,""atom_indices"":[7,8,9,10,11,12,13,22,23],""fragment_smiles"":""CC([C@H](N)C(N)=O)(C)C""}]","[""CC([C@H](N)C(N)=O)(C)C""]",5,0.03673858642578125,0.008551541110205093,0.040999650955200195,1.0,1.0,8.2,0.8,"{""42"": 0.0442957878112793, ""142"": 0.04346656799316406, ""242"": 0.040999650955200195, ""342"": 0.027471542358398438, ""442"": 0.027459383010864258}"
2773,dpp4_15,r3_b1019,3,1019,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,2.640165,0.0,1,10.1093/nar/gkw1074,2,True,"[15, 25]","[{""center_atom"":15,""environment_radius"":0,""atom_indices"":[15],""fragment_smiles"":""C""},{""center_atom"":25,""environment_radius"":0,""atom_indices"":[25],""fragment_smiles"":""C""}]","[""C"", ""C""]",5,0.03651714324951172,0.025117846633817956,0.026327967643737793,1.0,1.0,14.6,0.4,"{""42"": 0.016016483306884766, ""142"": 0.017520904541015625, ""242"": 0.07557845115661621, ""342"": 0.0471419095993042, ""442"": 0.026327967643737793}"
2773,dpp4_02,r3_b1675,3,1675,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,3.813603142857143,0.5411620419496759,7,10.1093/nar/gkw1074,1,False,"[7, 8, 9, 10, 11, 12, 13, 21, 22]","[{""center_atom"":10,""environment_radius"":2,""atom_indices"":[7,8,9,10,11,12,13,21,22],""fragment_smiles"":""CC([C@H](N)C(N)=O)(C)C""}]","[""CC([C@H](N)C(N)=O)(C)C""]",5,0.036443567276000975,0.021036715597103187,0.030203580856323242,1.0,1.0,11.8,0.6,"{""42"": 0.05819869041442871, ""142"": 0.05774664878845215, ""242"": 0.025982379913330078, ""342"": 0.010086536407470703, ""442"": 0.030203580856323242}"
2773,dpp4_09,r3_b1250,3,1250,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,3.149354,0.0,2,10.1093/nar/gkw1074,1,False,"[14, 23, 24, 25]","[{""center_atom"":23,""environment_radius"":1,""atom_indices"":[14,23,24,25],""fragment_smiles"":""C[C@H](N)C""}]","[""C[C@H](N)C""]",5,0.035862517356872556,0.021255211679410798,0.025553464889526367,1.0,1.0,22.2,0.4,"{""42"": 0.012392282485961914, ""142"": 0.053812265396118164, ""242"": 0.025553464889526367, ""342"": 0.06251931190490723, ""442"": 0.02503526210784912}"
2773,dpp4_14,r3_b1066,3,1066,CC(C)=CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,CC(C)=CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,2.730487,0.0,1,10.1093/nar/gkw1074,1,False,"[6, 7, 8, 10, 11, 12, 13]","[{""center_atom"":13,""environment_radius"":2,""atom_indices"":[6,7,8,10,11,12,13],""fragment_smiles"":""cN(C)C[C@@H](N)C""}]","[""cN(C)C[C@@H](N)C""]",5,0.03563323020935059,0.026688645273670628,0.03411698341369629,1.0,1.0,14.8,0.6,"{""42"": 0.01192331314086914, ""142"": 0.07773947715759277, ""242"": 0.03411698341369629, ""342"": 0.040781259536743164, ""442"": 0.013605117797851562}"
2773,dpp4_04,r3_b1426,3,1426,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,3.2947284999999997,0.5755505683919404,8,10.1093/nar/gkw1074,2,True,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21]","[{""center_atom"":21,""environment_radius"":3,""atom_indices"":[9,10,11,12,13,14,15,16,17,20,21],""fragment_smiles"":""CNC12CCCC(CCC1)C2""},{""center_atom"":12,""environment_radius"":3,""atom_indices"":[9,10,11,12,13,14,15,17,19,20,21],""fragment_smiles"":""CNC12CCCC(CCC1)C2""}]","[""CNC12CCCC(CCC1)C2"", ""CNC12CCCC(CCC1)C2""]",5,0.03546891212463379,0.019820998922235687,0.02569270133972168,1.0,1.0,12.8,0.4,"{""42"": 0.05832791328430176, ""142"": 0.02427840232849121, ""242"": 0.05484962463378906, ""342"": 0.02569270133972168, ""442"": 0.014195919036865234}"
