panel,target_name,evaluation,n,mse,rmse,mae,r2,pearson,spearman,kendall_tau,c_index
k4dd,A1 receptor,seed_442,13,0.5371192315748893,0.7328841870138073,0.6778853048915123,-1.255851372241477,0.821914767984937,0.5116923685290784,0.3483943475124437,0.6753246753246753
k4dd,A1 receptor,five_seed_ensemble,13,0.543946362630715,0.7375271945024909,0.6829857477045054,-1.2845246947654156,0.8214752064969814,0.5171944370078857,0.3483943475124437,0.6753246753246753
k4dd,A2A receptor,seed_42,40,0.4713898471611745,0.6865783619960467,0.41251010659928894,0.45282229699157917,0.6861137749497317,0.7305816135084428,0.5846153846153846,0.7923076923076923
k4dd,A2A receptor,seed_142,40,0.5470285982074297,0.7396138169392387,0.44518067236374204,0.36502270116836955,0.6471202741535408,0.6945590994371482,0.5564102564102564,0.7782051282051282
k4dd,A2A receptor,seed_242,40,0.5604623722597576,0.7486403490727424,0.4835759074993805,0.3494291077277083,0.621037862451234,0.6403377110694184,0.48205128205128206,0.7410256410256411
k4dd,A2A receptor,seed_342,40,0.5970956443288443,0.7727196414799123,0.5163161517507672,0.30690610943837093,0.6511207213879363,0.6658536585365854,0.5,0.75
k4dd,A2A receptor,seed_442,40,0.6480009405728725,0.8049850561177347,0.49784299302094687,0.2478164976499213,0.639671479891788,0.6857410881801126,0.5384615384615384,0.7692307692307693
k4dd,A2A receptor,five_seed_ensemble,40,0.5472123764737816,0.7397380458471645,0.44777133987719353,0.3648093758915294,0.6547774091914508,0.697560975609756,0.5307692307692308,0.7653846153846153
k4dd,AURKA,seed_42,130,0.21688907698560542,0.4657135138533189,0.30703867594110434,0.06838236926439034,0.575007262965928,0.5672596581289252,0.4301706912444993,0.7156392420244663
k4dd,AURKA,seed_142,130,0.2151933193488587,0.4638893395507798,0.3083068560015057,0.07566626633198037,0.5637623111939393,0.5572490329024108,0.41988296058626046,0.710482130007196
k4dd,AURKA,seed_242,130,0.19944668045360614,0.4465945369724154,0.297014727856458,0.14330381923934943,0.5674517715883348,0.5405491795231724,0.4036139911732316,0.7023266970496522
k4dd,AURKA,seed_342,130,0.1685127972069142,0.4105031025545534,0.28204509471405476,0.2761761216174352,0.5911671626006751,0.5816268856027221,0.4409369210031214,0.7210362197169585
k4dd,AURKA,seed_442,130,0.21143906364005496,0.45982503589958534,0.3305994554653795,0.09179216283733349,0.5947321632751263,0.5498578318484004,0.40169999477169877,0.7013672343487647
k4dd,AURKA,five_seed_ensemble,130,0.18574636928682772,0.43098302668066607,0.27743510971409235,0.20215164877011893,0.5985472330681397,0.5889197558223112,0.44931065525982744,0.7252338690333413
k4dd,Factor Xa,seed_42,7,5.7761817426782835,2.4033688320102438,2.289581320643485,-11.617457278720126,-0.05465417191786478,0.0,0.047619047619047616,0.5238095238095238
k4dd,Factor Xa,seed_142,7,4.366370931263506,2.08958630624904,1.9516362340280586,-8.537874870037863,-0.39922240583819607,0.0,0.047619047619047616,0.5238095238095238
k4dd,Factor Xa,seed_242,7,4.841322062137285,2.200300448151862,2.088522421990182,-9.575355314775573,0.00869193852537727,0.35714285714285715,0.3333333333333333,0.6666666666666666
k4dd,Factor Xa,seed_342,7,4.660552469417634,2.1588312739576554,2.052413178869716,-9.180483284247279,0.16973816837479574,0.32142857142857145,0.23809523809523808,0.6190476190476191
k4dd,Factor Xa,seed_442,7,3.265044619807432,1.8069434467651255,1.6447196565526472,-6.1321441808431345,-0.04791990816143078,0.21428571428571427,0.14285714285714285,0.5714285714285714
k4dd,Factor Xa,five_seed_ensemble,7,4.529150879171384,2.128180180147204,2.0053745624168178,-8.893450426704403,-0.05775008126064392,0.32142857142857145,0.23809523809523808,0.6190476190476191
k4dd,HSP90alpha,seed_42,155,0.1880629707380831,0.4336622772827758,0.2563848052700572,0.8194541618745677,0.923266947476535,0.9273821061971729,0.8053995137083927,0.9026997568541963
k4dd,HSP90alpha,seed_142,155,0.18964683537570692,0.4354845983220382,0.23596450351345638,0.8179336064597792,0.9123870616663821,0.9144416434439003,0.796009055085101,0.8980045275425506
k4dd,HSP90alpha,seed_242,155,0.1839826415975263,0.42893197782110665,0.2160046530578842,0.823371394712155,0.9126276202536484,0.9213864067942433,0.8060702607529135,0.9030351303764568
k4dd,HSP90alpha,seed_342,155,0.2746243051925622,0.5240460907139393,0.38017336839361415,0.7363528016386635,0.9182191754111385,0.9172034356440135,0.7981889829797938,0.8990944914898968
k4dd,HSP90alpha,seed_442,155,0.27813540173170004,0.5273854394384624,0.3827876663827096,0.7329820484015426,0.9198612833135397,0.9136714353507532,0.7986920432631843,0.8993460216315922
k4dd,HSP90alpha,five_seed_ensemble,155,0.2056901303403796,0.4535307380325832,0.28464453581982546,0.8025315838057586,0.9206377230095861,0.9238984453239846,0.8141192252871636,0.9070596126435818
k4dd,IGF-1R,seed_42,81,1.0380632530464051,1.0188538919032528,0.9328898521051554,-1.6046699036028418,0.6201300799937634,0.39473862680995303,0.2803224396570176,0.6404651162790698
k4dd,IGF-1R,seed_142,81,1.1979989909414768,1.0945314024464885,1.0045831826928862,-2.00597473910614,0.6486199770641484,0.41785524896389525,0.3001244662994559,0.6503875968992248
k4dd,IGF-1R,seed_242,81,1.1903667453587135,1.0910392959736663,1.0072463976943105,-1.9868241909020794,0.6791561849787884,0.40723989731528476,0.29331751964111774,0.6469767441860466
k4dd,IGF-1R,seed_342,81,0.639700742745481,0.7998129423468221,0.7103435888636818,-0.6051134331667296,0.7268125288523991,0.472817926063669,0.33849089291918016,0.6696124031007752
k4dd,IGF-1R,seed_442,81,0.6665528551601736,0.8164268829234946,0.7295588043491957,-0.6724897600422399,0.7002736531455647,0.4536538284597413,0.3279710662653848,0.6643410852713179
k4dd,IGF-1R,five_seed_ensemble,81,0.9143618817235011,0.9562227155446064,0.8726602329082517,-1.2942829999400804,0.6985461570898993,0.45042405125601515,0.3310651329282658,0.665891472868217
